Timestamp,Day_of_Week,Time_of_Day,Is_Weekend,Is_Holiday,Special_Event,Cub1_VOC (ppm),Cub2_VOC (ppm),Cub3_VOC (ppm),Common_VOC (ppm),Cub1_CO2 (ppm),Cub2_CO2 (ppm),Cub3_CO2 (ppm),Common_CO2 (ppm),Cub1_Temp (°C),Cub2_Temp (°C),Cub3_Temp (°C),Common_Temp (°C),Odor_Level,Cub1_Moisture (%),Cub2_Moisture (%),Cub3_Moisture (%),Common_Moisture (%),Cub1_Load (kg),Cub2_Load (kg),Cub3_Load (kg),Mall_Occupancy,Cub1_Occupancy,Cub2_Occupancy,Cub3_Occupancy,Common_Occupancy
2024-01-01 10:00:00,Monday,10,no,yes,no,102,230,150,218,446,477,460,680,24.0,25.3,27.0,27.5,High,86,77,77,67,13,47,0,2437,0,2,1,4
2024-01-01 10:05:00,Monday,10,no,yes,no,190,252,230,201,549,608,687,616,25.5,26.7,24.9,27.5,High,82,72,82,77,9,4,0,2146,2,0,1,3
2024-01-01 10:10:00,Monday,10,no,yes,no,121,131,112,293,410,649,485,721,24.1,23.2,24.8,27.5,High,87,73,74,72,34,14,41,2315,0,2,1,4
2024-01-01 10:15:00,Monday,10,no,yes,no,295,199,127,305,680,401,462,460,24.7,26.5,26.8,24.4,High,74,77,72,64,48,49,28,1023,0,2,2,4
2024-01-01 10:20:00,Monday,10,no,yes,no,178,103,136,212,623,426,558,677,23.5,24.3,26.6,25.2,High,73,78,77,66,42,15,18,1240,2,2,1,2
2024-01-01 10:25:00,Monday,10,no,yes,no,175,246,292,194,515,433,442,625,24.6,23.2,24.1,27.1,High,71,87,79,63,14,21,6,2046,2,1,1,4
2024-01-01 10:30:00,Monday,10,no,yes,no,136,191,253,160,649,450,549,469,23.8,24.9,25.4,27.6,High,89,78,79,65,41,5,26,2491,0,2,1,3
2024-01-01 10:35:00,Monday,10,no,yes,no,248,120,275,210,686,453,636,739,25.2,24.4,24.3,26.9,High,82,70,78,66,43,2,3,2520,1,0,0,5
2024-01-01 10:40:00,Monday,10,no,yes,no,192,273,114,307,575,422,590,739,26.5,23.6,23.2,24.0,High,73,70,76,78,39,23,26,1846,2,2,1,2
2024-01-01 10:45:00,Monday,10,no,yes,no,268,252,186,271,634,481,539,710,24.2,23.6,25.4,25.1,High,71,76,86,65,16,49,42,2577,0,2,1,3
2024-01-01 10:50:00,Monday,10,no,yes,no,258,155,220,270,605,697,608,477,26.7,26.7,24.5,25.5,High,73,72,77,72,21,1,30,2567,1,1,2,2
2024-01-01 10:55:00,Monday,10,no,yes,no,220,286,152,337,442,436,508,628,24.7,25.9,23.4,27.4,High,70,70,77,68,37,45,22,1730,0,2,1,4
2024-01-01 11:00:00,Monday,11,no,yes,no,257,298,241,202,634,678,617,529,26.4,25.5,25.2,27.5,High,73,87,72,62,9,11,37,1133,0,0,1,5
2024-01-01 11:05:00,Monday,11,no,yes,no,144,272,208,188,569,607,686,598,25.7,23.3,24.0,26.2,Medium,78,81,86,62,6,12,31,1033,2,0,2,2
2024-01-01 11:10:00,Monday,11,no,yes,no,200,132,191,174,548,564,584,679,26.8,24.8,23.1,26.6,High,86,76,76,61,43,36,19,1879,2,2,2,2
2024-01-01 11:15:00,Monday,11,no,yes,no,204,161,191,321,511,435,526,608,24.9,25.0,23.6,25.7,High,86,76,75,66,22,6,6,1629,1,1,2,2
2024-01-01 11:20:00,Monday,11,no,yes,no,125,100,285,321,692,522,625,713,24.2,23.1,27.0,27.0,High,88,73,85,64,25,12,14,2011,1,1,0,4
2024-01-01 11:25:00,Monday,11,no,yes,no,168,114,253,249,566,594,457,617,23.8,25.4,25.7,25.3,High,85,86,79,64,5,14,45,1882,1,0,0,4
2024-01-01 11:30:00,Monday,11,no,yes,no,162,186,251,238,577,538,501,485,26.8,24.0,26.1,28.0,High,89,82,87,68,28,3,31,2186,0,1,0,5
2024-01-01 11:35:00,Monday,11,no,yes,no,229,205,276,237,420,695,649,729,26.1,25.4,25.9,24.2,High,88,80,74,60,28,3,4,2788,0,0,2,4
2024-01-01 11:40:00,Monday,11,no,yes,no,260,281,282,235,427,675,593,614,24.4,24.8,26.9,25.8,High,71,89,70,78,2,46,1,1873,1,2,0,5
2024-01-01 11:45:00,Monday,11,no,yes,no,240,235,295,279,469,652,612,489,26.7,24.8,24.1,24.4,High,83,76,88,60,8,17,26,1072,0,2,2,3
2024-01-01 11:50:00,Monday,11,no,yes,no,142,219,245,349,465,464,619,515,26.4,24.5,24.7,24.1,High,84,72,74,66,21,10,8,1191,0,2,2,4
2024-01-01 11:55:00,Monday,11,no,yes,no,140,257,218,338,559,689,493,499,23.4,25.5,26.2,24.9,High,85,71,80,65,43,42,23,1460,2,0,0,4
2024-01-01 12:00:00,Monday,12,no,yes,no,259,146,106,349,553,595,664,689,26.6,25.0,25.2,25.9,High,75,76,87,67,41,2,37,1533,1,2,2,3
2024-01-01 12:05:00,Monday,12,no,yes,no,151,130,245,198,654,461,643,693,25.9,25.5,25.7,25.1,High,86,89,77,61,21,9,32,2915,2,0,0,4
2024-01-01 12:10:00,Monday,12,no,yes,no,162,149,266,302,498,593,671,530,25.8,26.3,25.0,26.5,High,75,84,81,77,1,41,37,1764,2,2,2,5
2024-01-01 12:15:00,Monday,12,no,yes,no,108,233,211,194,557,613,522,451,25.6,26.4,26.1,27.0,High,79,74,71,66,0,4,43,1035,2,0,0,3
2024-01-01 12:20:00,Monday,12,no,yes,no,259,127,242,327,661,656,638,745,24.8,26.8,25.1,27.4,High,87,80,87,70,14,15,33,2485,1,2,0,2
2024-01-01 12:25:00,Monday,12,no,yes,no,221,190,268,178,534,529,678,457,24.9,26.1,24.5,24.6,Medium,72,86,73,72,13,22,37,1094,1,0,1,2
2024-01-01 12:30:00,Monday,12,no,yes,no,281,155,148,155,568,647,697,535,23.1,26.5,23.9,25.4,Medium,77,89,81,69,2,40,30,1927,1,1,0,5
2024-01-01 12:35:00,Monday,12,no,yes,no,273,268,189,310,611,515,584,720,26.9,24.6,24.2,27.5,High,80,84,71,77,49,26,26,1747,1,0,1,3
2024-01-01 12:40:00,Monday,12,no,yes,no,289,116,178,214,434,451,448,530,26.1,25.7,24.4,24.1,High,77,81,76,66,29,39,27,2036,2,0,0,4
2024-01-01 12:45:00,Monday,12,no,yes,no,210,284,229,310,663,426,454,728,25.4,24.4,26.0,26.3,High,80,75,72,61,24,19,49,2898,1,1,2,5
